# Server / Fusion Coverage Audit
Generated: 2026-09-23
Mode: local runtime foundation audit. Dashboard, matching, workers, and UI copy remain out of scope.

## A. Local Server Registry
| code | displayName | host | numericId | aliases | releaseDate | type | region | active |
| NL1 | NL 1 | s1.sfgame.nl | 11 | s1_nl, s1nl |  | origin | NL | false |
| NL2 | NL 2 | s2.sfgame.nl | 56 | s2_nl, s2nl |  | origin | NL | false |
| NL3 | NL 3 | s3.sfgame.nl | 256 | s3_nl, s3nl |  | origin | NL | false |
| PL1 | PL 1 | s1.sfgame.pl | 26 | s1_pl, s1pl |  | origin | PL | false |
| PL2 | PL 2 | s2.sfgame.pl | 34 | s2_pl, s2pl |  | origin | PL | false |
| PL3 | PL 3 | s3.sfgame.pl | 35 | s3_pl, s3pl |  | origin | PL | false |
| PL4 | PL 4 | s4.sfgame.pl | 38 | s4_pl, s4pl |  | origin | PL | false |
| PL5 | PL 5 | s5.sfgame.pl | 43 | s5_pl, s5pl |  | origin | PL | false |
| PL6 | PL 6 | s6.sfgame.pl | 46 | s6_pl, s6pl |  | origin | PL | false |
| PL7 | PL 7 | s7.sfgame.pl | 52 | s7_pl, s7pl |  | origin | PL | false |
| PL8 | PL 8 | s8.sfgame.pl | 67 | s8_pl, s8pl |  | origin | PL | false |
| PL9 | PL 9 | s9.sfgame.pl | 79 | s9_pl, s9pl |  | origin | PL | false |
| PL10 | PL 10 | s10.sfgame.pl | 100 | s10_pl, s10pl |  | origin | PL | false |
| PL11 | PL 11 | s11.sfgame.pl | 122 | s11_pl, s11pl |  | origin | PL | false |
| PL12 | PL 12 | s12.sfgame.pl | 148 | s12_pl, s12pl |  | origin | PL | false |
| PL13 | PL 13 | s13.sfgame.pl | 167 | s13_pl, s13pl |  | origin | PL | false |
| PL14 | PL 14 | s14.sfgame.pl | 197 | s14_pl, s14pl |  | origin | PL | false |
| PL15 | PL 15 | s15.sfgame.pl | 212 | s15_pl, s15pl |  | origin | PL | false |
| PL16 | PL 16 | s16.sfgame.pl | 219 | s16_pl, s16pl |  | origin | PL | false |
| PL17 | PL 17 | s17.sfgame.pl | 237 | s17_pl, s17pl |  | origin | PL | false |
| PL18 | PL 18 | s18.sfgame.pl | 242 | s18_pl, s18pl |  | origin | PL | false |
| PL19 | PL 19 | s19.sfgame.pl | 249 | s19_pl, s19pl |  | origin | PL | false |
| PL20 | PL 20 | s20.sfgame.pl | 259 | s20_pl, s20pl |  | origin | PL | false |
| PL21 | PL 21 | s21.sfgame.pl | 266 | s21_pl, s21pl |  | origin | PL | false |
| PL22 | PL 22 | s22.sfgame.pl | 270 | s22_pl, s22pl |  | origin | PL | false |
| PL23 | PL 23 | s23.sfgame.pl | 276 | s23_pl, s23pl |  | origin | PL | false |
| PL24 | PL 24 | s24.sfgame.pl | 280 | s24_pl, s24pl |  | origin | PL | false |
| PL25 | PL 25 | s25.sfgame.pl | 284 | s25_pl, s25pl |  | origin | PL | false |
| PL26 | PL 26 | s26.sfgame.pl | 292 | s26_pl, s26pl |  | origin | PL | false |
| PL27 | PL 27 | s27.sfgame.pl | 307 | s27_pl, s27pl |  | origin | PL | false |
| PL28 | PL 28 | s28.sfgame.pl | 311 | s28_pl, s28pl |  | origin | PL | false |
| PL29 | PL 29 | s29.sfgame.pl | 317 | s29_pl, s29pl |  | origin | PL | false |
| PL30 | PL 30 | s30.sfgame.pl | 322 | s30_pl, s30pl |  | origin | PL | false |
| PL31 | PL 31 | s31.sfgame.pl | 334 | s31_pl, s31pl |  | origin | PL | false |
| PL32 | PL 32 | s32.sfgame.pl | 340 | s32_pl, s32pl |  | origin | PL | false |
| PL33 | PL 33 | s33.sfgame.pl | 348 | s33_pl, s33pl |  | origin | PL | false |
| PL34 | PL 34 | s34.sfgame.pl | 366 | s34_pl, s34pl |  | origin | PL | false |
| PL35 | PL 35 | s35.sfgame.pl | 388 | s35_pl, s35pl |  | origin | PL | false |
| PL36 | PL 36 | s36.sfgame.pl | 394 | s36_pl, s36pl |  | origin | PL | false |
| PL37 | PL 37 | s37.sfgame.pl | 405 | s37_pl, s37pl |  | origin | PL | false |
| PL38 | PL 38 | s38.sfgame.pl | 417 | s38_pl, s38pl |  | origin | PL | false |
| PL39 | PL 39 | s39.sfgame.pl | 429 | s39_pl, s39pl |  | origin | PL | false |
| PL40 | PL 40 | s40.sfgame.pl | 442 | s40_pl, s40pl |  | origin | PL | false |
| PT1 | PT 1 | s1.sfgame.com.pt | 24 | s1_pt, s1pt |  | origin | PT | false |
| PT2 | PT 2 | s2.sfgame.com.pt | 51 | s2_pt, s2pt |  | origin | PT | false |
| PT3 | PT 3 | s3.sfgame.com.pt | 92 | s3_pt, s3pt |  | origin | PT | false |
| PT4 | PT 4 | s4.sfgame.com.pt | 126 | s4_pt, s4pt |  | origin | PT | false |
| PT5 | PT 5 | s5.sfgame.com.pt | 199 | s5_pt, s5pt |  | origin | PT | false |
| PT6 | PT 6 | s6.sfgame.com.pt | 241 | s6_pt, s6pt |  | origin | PT | false |
